,Areaname,STCOU,LND110210D
483,"Lamar, GA",13171,183.5
484,"Lanier, GA",13173,185.26
485,"Laurens, GA",13175,807.3
486,"Lee, GA",13177,355.78
487,"Liberty, GA",13179,489.8
488,"Lincoln, GA",13181,210.38
489,"Long, GA",13183,400.29
490,"Lowndes, GA",13185,496.07
491,"Lumpkin, GA",13187,282.93
492,"McDuffie, GA",13189,257.46
493,"McIntosh, GA",13191,424.3
494,"Macon, GA",13193,400.64
495,"Madison, GA",13195,282.31
496,"Marion, GA",13197,366.0
497,"Meriwether, GA",13199,501.22
498,"Miller, GA",13201,282.42
499,"Mitchell, GA",13205,512.09
500,"Monroe, GA",13207,395.66
501,"Montgomery, GA",13209,239.52
502,"Morgan, GA",13211,347.35
503,"Murray, GA",13213,344.47
504,"Muscogee, GA",13215,216.39
505,"Newton, GA",13217,272.16
506,"Oconee, GA",13219,184.29
507,"Oglethorpe, GA",13221,439.01
508,"Paulding, GA",13223,312.22
509,"Peach, GA",13225,150.27
510,"Pickens, GA",13227,232.06
511,"Pierce, GA",13229,316.49
512,"Pike, GA",13231,216.09
513,"Polk, GA",13233,310.33
514,"Pulaski, GA",13235,249.03
515,"Putnam, GA",13237,344.64
516,"Quitman, GA",13239,151.24
517,"Rabun, GA",13241,369.99
518,"Randolph, GA",13243,428.24
519,"Richmond, GA",13245,324.33
520,"Rockdale, GA",13247,129.79
521,"Schley, GA",13249,166.91
522,"Screven, GA",13251,645.1
523,"Seminole, GA",13253,235.23
524,"Spalding, GA",13255,196.47
525,"Stephens, GA",13257,179.13
526,"Stewart, GA",13259,458.73
527,"Sumter, GA",13261,482.7
528,"Talbot, GA",13263,391.39
529,"Taliaferro, GA",13265,194.61
530,"Tattnall, GA",13267,479.4
531,"Taylor, GA",13269,376.69
532,"Telfair, GA",13271,437.3
533,"Terrell, GA",13273,335.44
534,"Thomas, GA",13275,544.6
535,"Tift, GA",13277,258.92
536,"Toombs, GA",13279,364.01
537,"Towns, GA",13281,166.56
538,"Treutlen, GA",13283,199.44
539,"Troup, GA",13285,413.99
540,"Turner, GA",13287,285.39
541,"Twiggs, GA",13289,358.4
542,"Union, GA",13291,321.93
543,"Upson, GA",13293,323.44
544,"Walker, GA",13295,446.38
545,"Walton, GA",13297,325.68
546,"Ware, GA",13299,892.46
547,"Warren, GA",13301,284.3
548,"Washington, GA",13303,678.45
549,"Wayne, GA",13305,641.78
550,"Webster, GA",13307,209.12
551,"Wheeler, GA",13309,295.48
552,"White, GA",13311,240.69
553,"Whitfield, GA",13313,290.46
554,"Wilcox, GA",13315,377.71
555,"Wilkes, GA",13317,469.49
556,"Wilkinson, GA",13319,447.31
557,"Worth, GA",13321,570.7
558,HAWAII,15000,6422.63
559,"Hawaii, HI",15001,4028.42
560,"Honolulu, HI",15003,600.74
561,"Kalawao, HI",15005,11.99
562,"Kauai, HI",15007,619.96
563,"Maui, HI",15009,1161.52
564,IDAHO,16000,82643.12
565,"Ada, ID",16001,1052.58
566,"Adams, ID",16003,1363.06
567,"Bannock, ID",16005,1111.99
568,"Bear Lake, ID",16007,974.79
569,"Benewah, ID",16009,776.62
570,"Bingham, ID",16011,2093.98
571,"Blaine, ID",16013,2643.59
572,"Boise, ID",16015,1899.24
573,"Bonner, ID",16017,1734.57
574,"Bonneville, ID",16019,1866.08
575,"Boundary, ID",16021,1268.56
576,"Butte, ID",16023,2231.67
577,"Camas, ID",16025,1074.49
578,"Canyon, ID",16027,587.37
579,"Caribou, ID",16029,1764.15
580,"Cassia, ID",16031,2565.08
581,"Clark, ID",16033,1764.19
582,"Clearwater, ID",16035,2457.27
583,"Custer, ID",16037,4920.94
584,"Elmore, ID",16039,3074.74
585,"Franklin, ID",16041,663.65
586,"Fremont, ID",16043,1863.53
587,"Gem, ID",16045,560.9
588,"Gooding, ID",16047,728.97
589,"Idaho, ID",16049,8477.35
590,"Jefferson, ID",16051,1093.5
591,"Jerome, ID",16053,597.19
592,"Kootenai, ID",16055,1244.13
593,"Latah, ID",16057,1076.0
594,"Lemhi, ID",16059,4563.39
595,"Lewis, ID",16061,478.8
596,"Lincoln, ID",16063,1201.41
597,"Madison, ID",16065,469.21
598,"Minidoka, ID",16067,757.59
599,"Nez Perce, ID",16069,848.09
600,"Oneida, ID",16071,1200.06
601,"Owyhee, ID",16073,7665.51
602,"Payette, ID",16075,406.87
603,"Power, ID",16077,1404.24
604,"Shoshone, ID",16079,2629.67
605,"Teton, ID",16081,449.46
606,"Twin Falls, ID",16083,1921.21
607,"Valley, ID",16085,3664.52
608,"Washington, ID",16087,1452.98
609,ILLINOIS,17000,55518.93
610,"Adams, IL",17001,855.2
611,"Alexander, IL",17003,235.51
612,"Bond, IL",17005,380.28
613,"Boone, IL",17007,280.72
614,"Brown, IL",17009,305.61
615,"Bureau, IL",17011,869.03
616,"Calhoun, IL",17013,253.83
617,"Carroll, IL",17015,444.81
618,"Cass, IL",17017,375.82
619,"Champaign, IL",17019,996.27
620,"Christian, IL",17021,709.38
621,"Clark, IL",17023,501.42
622,"Clay, IL",17025,468.32
623,"Clinton, IL",17027,474.09
624,"Coles, IL",17029,508.29
625,"Cook, IL",17031,945.33
626,"Crawford, IL",17033,443.63
627,"Cumberland, IL",17035,346.02
628,"DeKalb, IL",17037,631.31
629,"De Witt, IL",17039,397.51
630,"Douglas, IL",17041,416.67
631,"DuPage, IL",17043,327.5
632,"Edgar, IL",17045,623.37
633,"Edwards, IL",17047,222.42
634,"Effingham, IL",17049,478.78
635,"Fayette, IL",17051,716.48
636,"Ford, IL",17053,485.62
637,"Franklin, IL",17055,408.89
638,"Fulton, IL",17057,865.6
639,"Gallatin, IL",17059,323.07
640,"Greene, IL",17061,543.02
641,"Grundy, IL",17063,418.04
642,"Hamilton, IL",17065,434.67
643,"Hancock, IL",17067,793.73
644,"Hardin, IL",17069,177.53
645,"Henderson, IL",17071,378.87
646,"Henry, IL",17073,822.99
647,"Iroquois, IL",17075,1117.32
648,"Jackson, IL",17077,584.08
649,"Jasper, IL",17079,494.51
650,"Jefferson, IL",17081,571.17
651,"Jersey, IL",17083,369.27
652,"Jo Daviess, IL",17085,601.09
653,"Johnson, IL",17087,343.92
654,"Kane, IL",17089,520.06
655,"Kankakee, IL",17091,676.56
656,"Kendall, IL",17093,320.34
657,"Knox, IL",17095,716.4
658,"Lake, IL",17097,443.67
659,"LaSalle, IL",17099,1135.12
660,"Lawrence, IL",17101,372.18
661,"Lee, IL",17103,724.9
662,"Livingston, IL",17105,1044.29
663,"Logan, IL",17107,618.06
664,"McDonough, IL",17109,589.41
665,"McHenry, IL",17111,603.17
666,"McLean, IL",17113,1183.38
667,"Macon, IL",17115,580.69
668,"Macoupin, IL",17117,862.91
669,"Madison, IL",17119,715.58
670,"Marion, IL",17121,572.36
671,"Marshall, IL",17123,386.79
672,"Mason, IL",17125,539.24
673,"Massac, IL",17127,237.22
674,"Menard, IL",17129,314.44
675,"Mercer, IL",17131,561.2
676,"Monroe, IL",17133,385.01
677,"Montgomery, IL",17135,703.69
678,"Morgan, IL",17137,568.79
679,"Moultrie, IL",17139,335.94
680,"Ogle, IL",17141,758.57
681,"Peoria, IL",17143,619.21
682,"Perry, IL",17145,441.76
683,"Piatt, IL",17147,439.2
684,"Pike, IL",17149,831.38
685,"Pope, IL",17151,368.77
686,"Pulaski, IL",17153,199.19
687,"Putnam, IL",17155,160.16
688,"Randolph, IL",17157,575.5
689,"Richland, IL",17159,359.99
690,"Rock Island, IL",17161,427.64
691,"St. Clair, IL",17163,657.76
692,"Saline, IL",17165,379.82
693,"Sangamon, IL",17167,868.3
694,"Schuyler, IL",17169,437.27
695,"Scott, IL",17171,250.91
696,"Shelby, IL",17173,758.52
697,"Stark, IL",17175,288.08
698,"Stephenson, IL",17177,564.52
699,"Tazewell, IL",17179,648.97
700,"Union, IL",17181,413.46
701,"Vermilion, IL",17183,898.37
702,"Wabash, IL",17185,223.25
703,"Warren, IL",17187,542.41
704,"Washington, IL",17189,562.57
705,"Wayne, IL",17191,713.81
706,"White, IL",17193,494.77
707,"Whiteside, IL",17195,684.25
708,"Will, IL",17197,836.91
709,"Williamson, IL",17199,420.15
710,"Winnebago, IL",17201,513.36
711,"Woodford, IL",17203,527.8
712,INDIANA,18000,35826.11
713,"Adams, IN",18001,339.03
714,"Allen, IN",18003,657.31
715,"Bartholomew, IN",18005,406.91
716,"Benton, IN",18007,406.42
717,"Blackford, IN",18009,165.08
718,"Boone, IN",18011,422.91
719,"Brown, IN",18013,311.98
720,"Carroll, IN",18015,372.22
721,"Cass, IN",18017,412.16
722,"Clark, IN",18019,372.86
723,"Clay, IN",18021,357.54
724,"Clinton, IN",18023,405.07
725,"Crawford, IN",18025,305.64
726,"Daviess, IN",18027,429.49
727,"Dearborn, IN",18029,305.03
728,"Decatur, IN",18031,372.57
729,"DeKalb, IN",18033,362.82
730,"Delaware, IN",18035,392.12
731,"Dubois, IN",18037,427.27
732,"Elkhart, IN",18039,463.17
733,"Fayette, IN",18041,215.01
734,"Floyd, IN",18043,147.94
735,"Fountain, IN",18045,395.66
736,"Franklin, IN",18047,384.43
737,"Fulton, IN",18049,368.39
738,"Gibson, IN",18051,487.49
739,"Grant, IN",18053,414.07
740,"Greene, IN",18055,542.5
741,"Hamilton, IN",18057,394.27
742,"Hancock, IN",18059,306.02
743,"Harrison, IN",18061,484.52
744,"Hendricks, IN",18063,406.91
745,"Henry, IN",18065,391.88
746,"Howard, IN",18067,293.06
747,"Huntington, IN",18069,382.65
748,"Jackson, IN",18071,509.31
749,"Jasper, IN",18073,559.63
750,"Jay, IN",18075,383.91
751,"Jefferson, IN",18077,360.63
752,"Jennings, IN",18079,376.58
753,"Johnson, IN",18081,320.43
754,"Knox, IN",18083,516.03
755,"Kosciusko, IN",18085,531.38
756,"LaGrange, IN",18087,379.62
